gene,Cell_ID,Sample,log1TPM,treatment,Polarity,sample_mean_log1TPM,log1RPM,log1RPM_posterior,sample_mean_log1TPM_posterior,Skew,coeff,p_value,q_value,sig,domain
SteCoe_35613,con1,con1A,2.60311541796377,con,A,2.0254266536700314,4.6285420716338015,4.81266335866146,2.0293517934182708,-0.01950188335451785,1.4116357553335137,0.22181764301407617,0.24429255838554642,False,hypothetical protein
SteCoe_3562,con1,con1A,1.38087050680905,con,A,2.0254266536700314,3.4062971604790815,3.663105425241231,2.0293517934182708,-0.03632672798701319,0.9643327915173902,0.041711706256092926,0.14692748008469417,True,NT-C2 domain protein
SteCoe_3565,con1,con1A,1.4307896842553502,con,A,2.0254266536700314,3.4562163379253814,4.180208170135661,2.0293517934182708,-0.09480769847800241,0.7860326899310539,0.3152312284060294,0.31989685098461534,False,Fe-S_biosyn domain protein
SteCoe_35657,con1,con1A,3.8562071780008,con,A,2.0254266536700314,5.881633831670831,5.87303924906794,2.0293517934182708,0.0007311630484197736,0.8657299532182317,0.056466204088705,0.15259340647277359,False,hypothetical protein
SteCoe_35766,con1,con1A,1.3369869868957198,con,A,2.0254266536700314,3.362413640565751,3.560394260117641,2.0293517934182708,-0.028598311897741056,0.5058822040522519,0.20529386428833554,0.23328848214583583,False,hypothetical protein
SteCoe_35825,con1,con1A,0.848931459331739,con,A,2.0254266536700314,2.8743581130017706,3.297816375334321,2.0293517934182708,-0.0686076297960765,0.561625959507139,0.017470006959639277,0.13816979920631034,True,hypothetical protein
SteCoe_3594,con1,con1A,6.6633068523003205,con,A,2.0254266536700314,8.688733505970351,8.33875800498712,2.0293517934182708,0.02055355603953851,0.22623298190168611,0.012553778110905058,0.13816979920631034,True,14-3-3 domain protein
SteCoe_35960,con1,con1A,0.38735886415110404,con,A,2.0254266536700314,2.4127855178211353,2.4715390046720227,2.0293517934182708,-0.012028989183727962,1.2285142320576816,0.1608714232709214,0.19998623924020728,False,hypothetical protein
SteCoe_36032,con1,con1A,4.2559165370988605,con,A,2.0254266536700314,6.281343190768892,6.168005203293681,2.0293517934182708,0.009103929289123631,0.48602689204273736,0.03502504039822528,0.1455697696570804,True,hypothetical protein
SteCoe_36354,con1,con1A,2.57891025106083,con,A,2.0254266536700314,4.604336904730861,4.36089705677716,2.0293517934182708,0.027153764084562954,1.2377527001074795,0.13636944304103202,0.1862970533347432,False,hypothetical protein
