"","A1","A2","A6","P1","P2","P6"
"SteCoe_10198",0,0,0,0,0,0
"SteCoe_10199",37.3245968279327,35.0464579435717,34.4368031247487,51.3659632116771,44.3057304637288,49.4377247875471
"SteCoe_102",97.3312865704246,115.89768626866,109.739658365311,116.793881929753,107.557158596994,104.973102735438
"SteCoe_1020",0,0,0,0,0,0
"SteCoe_10200",387.15705863093,522.843341489153,477.348138301626,644.501043096046,520.878622317882,577.61479770569
"SteCoe_10201",69.9687181110333,100.941837074682,106.341205228752,154.119443996221,112.643887985536,124.665822898314
"SteCoe_10202",1178.82338799122,1227.44991025984,1116.76613902506,1269.58035713221,1237.24543848076,1414.01727147025
"SteCoe_10203",404.066528438065,327.508980067995,327.05629639877,279.148728691945,353.789983890796,344.68248605116
"SteCoe_10204",4716.27555013306,4593.2251181492,4593.06848748841,5406.28987719853,5558.27966750068,5210.26296339755
"SteCoe_10205",468.87599584736,484.504518836943,438.817942456259,501.971627434898,502.114966090763,563.702125211463
"SteCoe_10206",78.6897113799079,77.4276851330711,80.1311939294818,97.4307616554312,99.485754137616,97.9691447553192
"SteCoe_10207",0.95959659940268,18.2242485736822,15.5193822684089,26.8518342466871,6.91494325920701,14.7160099638574
"SteCoe_10208",824.112203729256,825.863974090691,798.307041453438,914.314379661027,923.387053562945,906.854724974509
"SteCoe_10209",1373.62658554078,1651.65255322042,1300.63693368674,1528.0857584538,1340.86741384944,1666.67296542768
"SteCoe_1021",45.562097377077,45.5735919534114,32.0378095644219,40.9034875218203,42.6344641598319,60.3425205624219
"SteCoe_10212",2141.45958354339,2187.46302516719,2002.37364915367,2255.8533112019,2225.62428254355,2350.12747516737
"SteCoe_10213",0,1,1,0,0,0
"SteCoe_10214",52.684746270185,43.2918030904414,56.5739474231664,66.7611463352809,69.9264074210191,59.7821608554768
"SteCoe_10215",76.3522604929516,72.6893026304539,66.3606641164215,68.174117165936,84.5922349740823,81.5926106356037
"SteCoe_10216",221.309612814936,253.531077041184,228.994636136929,314.997670682617,268.381623694544,296.657009585605
"SteCoe_10217",149.067190775079,163.604697797632,206.268766915646,287.429027080016,255.557275078093,235.018849131566
"SteCoe_1022",5375.27690465411,5624.67487729812,5263.29397309195,6188.3133764601,6119.20339011878,6193.45970240464
"SteCoe_10220",99.0369075362353,129.363505601859,79.1406790290999,95.9259426070345,74.7846019945816,132.776803193343
"SteCoe_10222",0,0,0,0,1,0
"SteCoe_10223",0,0,0,0,0,0
"SteCoe_10224",221.526621676855,274.422554773118,210.722873425489,255.134164179056,187.036544994789,268.092174388823
"SteCoe_10227",1270.81322378499,1380.79648786325,1287.20379485103,1469.99267244856,1478.07552108169,1474.70816420933
"SteCoe_10228",740.659256384255,777.397431847393,887.502859649439,1318.08658378042,1131.1357976223,1182.80281664144
"SteCoe_10229",236.687905507218,259.526897180807,217.338131311568,267.222513279519,260.509040743969,304.583995956273
"SteCoe_1023",17,35,0,39,38,0
"SteCoe_10230",90.4238361702454,81.4328462126841,76.5847632885805,98.1972389625465,102.827183189036,119.209964093463
"SteCoe_10231",184.49691373664,196.55334440529,175.878456678422,208.632687398681,193.609527963459,211.752870089138
"SteCoe_10232",131.328640191233,170.918217700291,155.077524493317,193.370357684108,149.802587907456,167.851912021099
"SteCoe_10233",9.76720392159576,12.6147594987561,8.54118834958446,12.8158773876248,8.89451486845939,15.8875950362761
"SteCoe_10234",1993.71369969153,1953.77517654969,1968.08503795723,2073.17893360182,2146.7847239974,2271.17178948487
"SteCoe_10235",2532.33198576467,2885.38054967764,2571.7913274051,2816.89340037114,2509.11773633029,2639.38144417905
"SteCoe_10236",964.08768591291,979.258157565593,838.774042888467,967.213377973982,952.790074638491,1113.53186377919
